candidate_id,themes,discovery_queries,best_rank,title,authors,published_date,year,venue,volume,issue,pages_or_article,doi,crossref_type,publisher,crossref_url,publisher_url,discovery_source,metadata_status
RAW013,T5,piecewise differentiable simulation topology events,1,Equivariant piecewise differentiable immersions,Norman Levitt,1989-01-01,1989,Lecture Notes in Mathematics Grassmannians and Gauss Maps in Piecewise-linear Topology,,,181-187,10.1007/bfb0085004,book-chapter,Springer Berlin Heidelberg,https://api.crossref.org/works/10.1007/bfb0085004,https://doi.org/10.1007/bfb0085004,Crossref REST,RAW_CANDIDATE
RAW014,T7,weakly compressible SPH Taylor Green verification,1,Evaluation of weakly compressible SPH variants using derived analytical solutions of Taylor–Couette flows,Pablo S. Rojas Fredini; Alejandro C. Limache,2013-09-01,2013,Computers &amp; Mathematics with Applications,66,3,304-317,10.1016/j.camwa.2013.05.008,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.camwa.2013.05.008,https://doi.org/10.1016/j.camwa.2013.05.008,Crossref REST,RAW_CANDIDATE
RAW015,T2,particle based neural operator fluid dynamics,1,Fourier Neural Operator Based Fluid-Structure Interaction for Predicting the Vesicle Dynamics,Wang Xiao; Ting Gao; Kai Liu; Jinqiao Duan; Meng Zhao,2024-01-01,2024,,,,,10.2139/ssrn.4689737,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.4689737,https://doi.org/10.2139/ssrn.4689737,Crossref REST,RAW_CANDIDATE
RAW016,T7,grand challenges smoothed particle hydrodynamics schemes,1,Grand challenges for Smoothed Particle Hydrodynamics numerical schemes,Renato Vacondio; Corrado Altomare; Matthieu De Leffe; Xiangyu Hu; David Le Touzé; Steven Lind; Jean-Christophe Marongiu; Salvatore Marrone; Benedict D. Rogers; Antonio Souto-Iglesias,2021-05-01,2021,Computational Particle Mechanics,8,3,575-588,10.1007/s40571-020-00354-1,journal-article,Elsevier BV,https://api.crossref.org/works/10.1007/s40571-020-00354-1,https://doi.org/10.1007/s40571-020-00354-1,Crossref REST,RAW_CANDIDATE
RAW017,T1;T2,graph neural network SPH fluid || Lagrangian fluid simulation graph neural network,1,Graph neural network-accelerated Lagrangian fluid simulation,Zijie Li; Amir Barati Farimani,2022-04-01,2022,Computers &amp; Graphics,103,,201-211,10.1016/j.cag.2022.02.004,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.cag.2022.02.004,https://doi.org/10.1016/j.cag.2022.02.004,Crossref REST,RAW_CANDIDATE
RAW018,T4;T6,differentiable physics solver gradient verification finite difference || solver in the loop differentiable physics || manufactured solutions learned PDE solver,1,Learning spatially varying PDE operators with a differentiable finite-difference solver,Patrick Chatain; Michael Rizvi-Martel; Guillaume Rabusseau; Adam Oberman,2026-01-01,2026,,,,,10.2139/ssrn.7228943,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.7228943,https://doi.org/10.2139/ssrn.7228943,Crossref REST,RAW_CANDIDATE
RAW019,T1,machine learning enhanced SPH solver,1,Machine-Learning-Enhanced NEGF Solver of Interband Cascade Laser,Marcin Makowiec; Andrzej Kolek,2024-09-23,2024,2024 International Conference on Numerical Simulation of Optoelectronic Devices (NUSOD),,,23-24,10.1109/nusod62083.2024.10723554,proceedings-article,IEEE,https://api.crossref.org/works/10.1109/nusod62083.2024.10723554,https://doi.org/10.1109/nusod62083.2024.10723554,Crossref REST,RAW_CANDIDATE
RAW020,T2;T3,message passing particle fluid simulator || antisymmetric message passing conservation,1,Message-passing multiprocessor simulator,T. H. Dunigan,1986-05-01,1986,,,,,10.2172/5760616,report,Office of Scientific and Technical Information (OSTI),https://api.crossref.org/works/10.2172/5760616,https://doi.org/10.2172/5760616,Crossref REST,RAW_CANDIDATE
RAW021,T5,cutoff discontinuity particle simulation,1,Multiple imputation regression discontinuity designs: Alternative to regression discontinuity designs to estimate the local average treatment effect at the cutoff,Masayoshi Takahashi,2023-09-02,2023,Communications in Statistics - Simulation and Computation,52,9,4293-4312,10.1080/03610918.2021.1960374,journal-article,Informa UK Limited,https://api.crossref.org/works/10.1080/03610918.2021.1960374,https://doi.org/10.1080/03610918.2021.1960374,Crossref REST,RAW_CANDIDATE
RAW022,T4,differentiable CFD automatic differentiation verification,1,Pseudo-timestepping and verification for automatic differentiation derived CFD codes,Faidon Christakopoulos; Dominic Jones; Jens-Dominik Müller,2011-07-01,2011,Computers &amp; Fluids,46,1,174-179,10.1016/j.compfluid.2011.01.039,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.compfluid.2011.01.039,https://doi.org/10.1016/j.compfluid.2011.01.039,Crossref REST,RAW_CANDIDATE
RAW023,T4,multistep automatic differentiation physics solver,1,Reverse Automatic Differentiation of Linear Multistep Methods,Adrian Sandu,2008-01-01,2008,Lecture Notes in Computational Science and Engineering Advances in Automatic Differentiation,,,1-12,10.1007/978-3-540-68942-3_1,book-chapter,Springer Berlin Heidelberg,https://api.crossref.org/works/10.1007/978-3-540-68942-3_1,https://doi.org/10.1007/978-3-540-68942-3_1,Crossref REST,RAW_CANDIDATE
RAW024,T4,adjoint tangent linear gradient verification,1,ROMS Tangent Linear and Adjoint Models: Testing and Applications,Hernan G. Arango,2001-09-30,2001,,,,,10.21236/ada625256,report,Defense Technical Information Center,https://api.crossref.org/works/10.21236/ada625256,https://doi.org/10.21236/ada625256,Crossref REST,RAW_CANDIDATE
RAW025,T1;T7,smoothed particle hydrodynamics neural correction || differentiable smoothed particle hydrodynamics || data driven smoothed particle hydrodynamics || smoothed particle hydrodynamics convergence consistency || grand challenges smoothed particle hydrodynamics schemes,1,Smoothed Particle Hydrodynamics Method,Carlos Alberto Dutra Fraga Filho,2019-01-01,2019,Smoothed Particle Hydrodynamics,,,17-65,10.1007/978-3-030-00773-7_3,book-chapter,Springer International Publishing,https://api.crossref.org/works/10.1007/978-3-030-00773-7_3,https://doi.org/10.1007/978-3-030-00773-7_3,Crossref REST,RAW_CANDIDATE
RAW026,T7,SPH numerical validation reference hierarchy,1,SPH method validation,D. Violeau,2012-05-01,2012,Fluid Mechanics and the SPH Method,,,470-510,10.1093/acprof:oso/9780199655526.003.0007,book-chapter,Oxford University Press,https://api.crossref.org/works/10.1093/acprof%3Aoso/9780199655526.003.0007,https://doi.org/10.1093/acprof:oso/9780199655526.003.0007,Crossref REST,RAW_CANDIDATE
RAW027,T3,Hamiltonian graph neural network dynamics,1,Symplectic Discrete Exterior Calculus: A Structure-Preserving Graph Neural Network for Hamiltonian Dynamics,pengcheng cheng,2026-01-01,2026,,,,,10.2139/ssrn.6203398,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.6203398,https://doi.org/10.2139/ssrn.6203398,Crossref REST,RAW_CANDIDATE
RAW028,T2,learned particle simulator graph network,1,Three-Dimensional Granular Flow Simulation Using Graph Neural Network-Based Learned Simulator,Yongjin Choi; Krishna Kumar,2024-02-22,2024,Geo-Congress 2024,,,335-344,10.1061/9780784485347.034,proceedings-article,American Society of Civil Engineers,https://api.crossref.org/works/10.1061/9780784485347.034,https://doi.org/10.1061/9780784485347.034,Crossref REST,RAW_CANDIDATE
RAW029,T5,differentiable neighbor search particles,1,TND-NAS: Towards Non-Differentiable Objectives in Differentiable Neural Architecture Search,Bo Lyu; Shiping Wen,2022-01-01,2022,"Proceedings of the 3rd International Symposium on Automation, Information and Computing",,,177-181,10.5220/0011917300003612,proceedings-article,SCITEPRESS - Science and Technology Publications,https://api.crossref.org/works/10.5220/0011917300003612,https://doi.org/10.5220/0011917300003612,Crossref REST,RAW_CANDIDATE
RAW030,T6,reporting standards machine learning based science,1,Using Machine Learning to Make Assessment of Next Generation Science Standards–Based Three-Dimensional Science Scalable,Jay Thomas,2020-01-01,2020,Proceedings of the 2020 AERA Annual Meeting,,,,10.3102/1578476,proceedings-article,AERA,https://api.crossref.org/works/10.3102/1578476,https://doi.org/10.3102/1578476,Crossref REST,RAW_CANDIDATE
RAW031,T6,verification validation trustworthy scientific machine learning,1,Verification and validation for trustworthy scientific machine learning,John D Jakeman; Lorena A Barba; Joaquim R R A Martins; Thomas O’Leary-Roseberry,2026-04-01,2026,Machine Learning: Science and Technology,7,2,025055,10.1088/2632-2153/ae59ec,journal-article,IOP Publishing,https://api.crossref.org/works/10.1088/2632-2153/ae59ec,https://doi.org/10.1088/2632-2153/ae59ec,Crossref REST,RAW_CANDIDATE
RAW032,T6,credibility assessment scientific machine learning,1,Web Credibility Assessment,,2014-10-29,2014,Computational Trust Models and Machine Learning,,,97-146,10.1201/b17778-11,book-chapter,Chapman and Hall/CRC,https://api.crossref.org/works/10.1201/b17778-11,https://doi.org/10.1201/b17778-11,Crossref REST,RAW_CANDIDATE
RAW033,T7,smoothed particle hydrodynamics convergence consistency,1,When Particle Shifting is Expected to Improve Convergence of Lagrangian Smoothed Particle Hydrodynamics,Lennart Beck; Ivo  F. Sbalzarini,2023-01-01,2023,,,,,10.2139/ssrn.4527159,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.4527159,https://doi.org/10.2139/ssrn.4527159,Crossref REST,RAW_CANDIDATE
RAW034,T2;T3,message passing particle fluid simulator || antisymmetric message passing conservation,2,5 - Advanced Message Passing in MPI,,1999-01-01,1999,Using MPI,,,,10.7551/mitpress/7056.003.0008,book-chapter,The MIT Press,https://api.crossref.org/works/10.7551/mitpress/7056.003.0008,https://doi.org/10.7551/mitpress/7056.003.0008,Crossref REST,RAW_CANDIDATE
RAW035,T4,differentiable CFD automatic differentiation verification,2,8. Automatic differentiation,,2017-04-10,2017,Interval Analysis,,,407-416,10.1515/9783110499469-009,book-chapter,De Gruyter,https://api.crossref.org/works/10.1515/9783110499469-009,https://doi.org/10.1515/9783110499469-009,Crossref REST,RAW_CANDIDATE
RAW036,T3,momentum conserving neural network particle dynamics,2,A discrete momentum-conserving explicit algorithm for multibody dynamics analysis,K. PARK; J. CHIOU,1992-04-16,1992,Dynamics Specialists Conference,,,,10.2514/6.1992-2089,proceedings-article,American Institute of Aeronautics and Astronautics,https://api.crossref.org/works/10.2514/6.1992-2089,https://doi.org/10.2514/6.1992-2089,Crossref REST,RAW_CANDIDATE
RAW037,T6,manufactured solutions learned PDE solver,2,A high order PDE solver to price three factor derivatives,Hilber Norbert,2022-05-09,2022,,,,,10.22541/au.165208508.89418349/v1,posted-content,Wiley,https://api.crossref.org/works/10.22541/au.165208508.89418349/v1,https://doi.org/10.22541/au.165208508.89418349/v1,Crossref REST,RAW_CANDIDATE
RAW038,T2,Lagrangian fluid simulation graph neural network,2,A mesh-based Graph Neural Network approach for surrogate modeling of Lagrangian free surface fluid flows,Federico Lanteri; Massimiliano Cremonesi,2025-10-01,2025,Computers &amp; Fluids,301,,106773,10.1016/j.compfluid.2025.106773,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.compfluid.2025.106773,https://doi.org/10.1016/j.compfluid.2025.106773,Crossref REST,RAW_CANDIDATE
RAW039,T2,message passing particle fluid simulator,2,"A message-passing, distributed memory parallel algorithm for direct numerical simulation of turbulence with particle tracking",P.K. Yeung; Catherine A. Moseley,1996-01-01,1996,Parallel Computational Fluid Dynamics 1995,,,473-480,10.1016/b978-044482322-9/50112-2,book-chapter,Elsevier,https://api.crossref.org/works/10.1016/b978-044482322-9/50112-2,https://doi.org/10.1016/b978-044482322-9/50112-2,Crossref REST,RAW_CANDIDATE
RAW040,T6,code verification ML augmented solver,2,Code and Solution Verification of an Adaptive Finite Element Turbulent Flow Solver,Alexander Hay; Dominique Pelletier,2007-06-25,2007,18th AIAA Computational Fluid Dynamics Conference,,,,10.2514/6.2007-4202,proceedings-article,American Institute of Aeronautics and Astronautics,https://api.crossref.org/works/10.2514/6.2007-4202,https://doi.org/10.2514/6.2007-4202,Crossref REST,RAW_CANDIDATE
RAW041,T1,smoothed particle hydrodynamics neural correction,2,Correction to: Application of hourglass control to Eulerian smoothed particle hydrodynamics,Shoya Mohseni-Mofidi; Claas Bierwisch,2021-07-01,2021,Computational Particle Mechanics,8,4,1001,10.1007/s40571-021-00412-2,journal-article,Elsevier BV,https://api.crossref.org/works/10.1007/s40571-021-00412-2,https://doi.org/10.1007/s40571-021-00412-2,Crossref REST,RAW_CANDIDATE
RAW042,T6,credibility assessment scientific machine learning,2,Credibility-Gated Anchored Boosting: Auditable Machine Learning for Underwriting Risk Assessment and Loss Forecasting,Yongbin Yang,2026-01-01,2026,,,,,10.2139/ssrn.7052878,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.7052878,https://doi.org/10.2139/ssrn.7052878,Crossref REST,RAW_CANDIDATE
RAW043,T5,differentiable contact simulation discontinuity,2,DiffClothAI: Differentiable Cloth Simulation with Intersection-free Frictional Contact and Differentiable Two-Way Coupling with Articulated Rigid Bodies,Xinyuan Yu; Siheng Zhao; Siyuan Luo; Gang Yang; Lin Shao,2023-10-01,2023,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,400-407,10.1109/iros55552.2023.10341573,proceedings-article,IEEE,https://api.crossref.org/works/10.1109/iros55552.2023.10341573,https://doi.org/10.1109/iros55552.2023.10341573,Crossref REST,RAW_CANDIDATE
RAW044,T2;T3,particle based neural operator fluid dynamics || momentum conserving neural network particle dynamics,2,Guaranteed Conservation of Momentum for Learning Particle-Based Fluid Dynamics,Lukas Prantl; Benjamin Ummenhofer; Vladlen Koltun; Nils Thuerey,2022-01-01,2022,Advances in Neural Information Processing Systems 35,,,6901-6913,10.52202/068431-0500,proceedings-article,"Neural Information Processing Systems Foundation, Inc. (NeurIPS)",https://api.crossref.org/works/10.52202/068431-0500,https://doi.org/10.52202/068431-0500,Crossref REST,RAW_CANDIDATE
RAW045,T4,solver in the loop differentiable physics,2,Hybrid Modeling of the Reversed‐Phase Chromatographic Purification of an Oligonucleotide: Few‐Shot Learning From Differentiable Physics Solver‐in‐the‐Loop,Yu‐Cheng Chen; Ismaele Fioretti; Dong‐Qiang Lin; Mattia Sponchioni,2025-08-01,2025,Biotechnology and Bioengineering,122,8,2179-2192,10.1002/bit.29018,journal-article,Wiley,https://api.crossref.org/works/10.1002/bit.29018,https://doi.org/10.1002/bit.29018,Crossref REST,RAW_CANDIDATE
RAW046,T4,multistep automatic differentiation physics solver,2,Improving the solver for the Balitsky-Kovchegov evolution equation with Automatic Differentiation,Florian Cougoulic; Piotr Korcyl; Tomasz Stebel,2025-08-01,2025,Computer Physics Communications,313,,109616,10.1016/j.cpc.2025.109616,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.cpc.2025.109616,https://doi.org/10.1016/j.cpc.2025.109616,Crossref REST,RAW_CANDIDATE
RAW047,T1;T7,smoothed particle hydrodynamics neural correction || differentiable smoothed particle hydrodynamics || data driven smoothed particle hydrodynamics || smoothed particle hydrodynamics convergence consistency || grand challenges smoothed particle hydrodynamics schemes,2,Inviscid smoothed particle hydrodynamics,Lee Cullen; Walter Dehnen,2010-10-21,2010,Monthly Notices of the Royal Astronomical Society,408,2,669-683,10.1111/j.1365-2966.2010.17158.x,journal-article,Oxford University Press (OUP),https://api.crossref.org/works/10.1111/j.1365-2966.2010.17158.x,https://doi.org/10.1111/j.1365-2966.2010.17158.x,Crossref REST,RAW_CANDIDATE
RAW048,T1;T3,graph neural network SPH fluid || Hamiltonian graph neural network dynamics,2,Learnable Graph Network Model (LGNM): A Physics Constrained Graph Neural Network with Quantum Hamiltonian Learning,Bhuwan Sharma; Chiranjib Sarkar,2026-07-20,2026,,,,,10.64898/2026.07.14.738428,posted-content,openRxiv,https://api.crossref.org/works/10.64898/2026.07.14.738428,https://doi.org/10.64898/2026.07.14.738428,Crossref REST,RAW_CANDIDATE
RAW049,T2,long horizon particle rollout simulator,2,LifeSim: Long-Horizon User Life Simulator for Personalized Assistant Evaluation,Feiyu Duan; Xuanjing Huang; Zhongyu Wei,2026-01-01,2026,Findings of the Association for Computational Linguistics: ACL 2026,,,20419-20463,10.18653/v1/2026.findings-acl.1022,proceedings-article,Association for Computational Linguistics,https://api.crossref.org/works/10.18653/v1/2026.findings-acl.1022,https://doi.org/10.18653/v1/2026.findings-acl.1022,Crossref REST,RAW_CANDIDATE
RAW050,T7,SPH verification manufactured solutions,2,Manufactured Solutions for Solid Mechanics Code Verification -- Hyperelastic Material Case,James Cox,2016-09-01,2016,,,,,10.2172/1562627,report,Office of Scientific and Technical Information (OSTI),https://api.crossref.org/works/10.2172/1562627,https://doi.org/10.2172/1562627,Crossref REST,RAW_CANDIDATE
RAW051,T5,cutoff discontinuity particle simulation,2,Nonparametric Regression with Stochastic Boundary and Regression Discontinuity with Endogenous Cutoff,Jiafeng Chen,2019-01-01,2019,SSRN Electronic Journal,,,,10.2139/ssrn.3510899,journal-article,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.3510899,https://doi.org/10.2139/ssrn.3510899,Crossref REST,RAW_CANDIDATE
RAW052,T1;T3,graph neural network SPH fluid || Hamiltonian graph neural network dynamics,2,NuGraph2: A Graph Neural Network for Neutrino Event Reconstruction,Giuseppe Cerati,2024-08-09,2024,NuGraph2: A Graph Neural Network for Neutrino Event Reconstruction,,,,10.2172/2432449,proceedings-article,US DOE,https://api.crossref.org/works/10.2172/2432449,https://doi.org/10.2172/2432449,Crossref REST,RAW_CANDIDATE
RAW053,T3,pairwise conservative force learning,2,Pairwise Force Field for Magnesium Oxide Atomistic Simulations,Luis  Gustavo Vieira Gonçalves; Jose Pedro Rino,2024-01-01,2024,,,,,10.2139/ssrn.4994284,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.4994284,https://doi.org/10.2139/ssrn.4994284,Crossref REST,RAW_CANDIDATE
RAW054,T2,learned particle simulator graph network,2,particles: A Graph Based Particle Simulator Based on D3-Force,Thomas Lin Pedersen,2018-02-26,2018,CRAN: Contributed Packages,,,,10.32614/cran.package.particles,dataset,The R Foundation,https://api.crossref.org/works/10.32614/cran.package.particles,https://doi.org/10.32614/cran.package.particles,Crossref REST,RAW_CANDIDATE
RAW055,T5,piecewise differentiable simulation topology events,2,Piecewise differentiable immersions into riemannian manifolds,Norman Levitt,1989-01-01,1989,Lecture Notes in Mathematics Grassmannians and Gauss Maps in Piecewise-linear Topology,,,188-197,10.1007/bfb0085005,book-chapter,Springer Berlin Heidelberg,https://api.crossref.org/works/10.1007/bfb0085005,https://doi.org/10.1007/bfb0085005,Crossref REST,RAW_CANDIDATE
RAW056,T7,smoothed particle hydrodynamics convergence consistency,2,Restoring particle consistency in smoothed particle hydrodynamics,M.B. Liu; G.R. Liu,2006-01-01,2006,Applied Numerical Mathematics,56,1,19-36,10.1016/j.apnum.2005.02.012,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.apnum.2005.02.012,https://doi.org/10.1016/j.apnum.2005.02.012,Crossref REST,RAW_CANDIDATE
RAW057,T3,equivariant graph neural network particle dynamics,2,"Review for ""EGraFFBench: evaluation of equivariant graph neural network force fields for atomistic simulations""",,2024-02-16,2024,,,,,10.1039/d4dd00027g/v1/review1,peer-review,Royal Society of Chemistry (RSC),https://api.crossref.org/works/10.1039/d4dd00027g/v1/review1,https://doi.org/10.1039/d4dd00027g/v1/review1,Crossref REST,RAW_CANDIDATE
RAW058,T4,adjoint tangent linear gradient verification,2,ROMS/TOMS Tangent Linear and Adjoint Models:Testing and Applications,Andrew M. Moore,2002-09-30,2002,,,,,10.21236/ada626935,report,Defense Technical Information Center,https://api.crossref.org/works/10.21236/ada626935,https://doi.org/10.21236/ada626935,Crossref REST,RAW_CANDIDATE
RAW059,T6,verification validation trustworthy scientific machine learning,2,Scientific Machine Learning for Trustworthy Medical Diagnostics: A Quadrature-Optimized Deep Learning Framework,Mohadeseh Mokhtariesfidvajani,2026-01-01,2026,,,,,10.2139/ssrn.7119238,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.7119238,https://doi.org/10.2139/ssrn.7119238,Crossref REST,RAW_CANDIDATE
RAW060,T5,dynamic graph differentiation topology,2,Static and Dynamic Graph Community Metrics as Learning Features for Detecting Cyber-Attacks Through Network Topology Analysis,Julien MICHEL; Pierre Parrend,2024-01-01,2024,,,,,10.2139/ssrn.4976418,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.4976418,https://doi.org/10.2139/ssrn.4976418,Crossref REST,RAW_CANDIDATE
RAW061,T4,differentiable physics solver gradient verification finite difference,2,The Laguerre finite difference one-way equation solver,Andrew V. Terekhov,2017-05-01,2017,Computer Physics Communications,214,,71-82,10.1016/j.cpc.2017.01.014,journal-article,Elsevier BV,https://api.crossref.org/works/10.1016/j.cpc.2017.01.014,https://doi.org/10.1016/j.cpc.2017.01.014,Crossref REST,RAW_CANDIDATE
RAW062,T6,reporting standards machine learning based science,2,"Transforming International Financial Reporting Standards Adoption Using Machine Learning for Automated Classification, Disclosure, and Compliance Optimization",,2025-06-29,2025,International Journal of Computer Applications Technology and Research,,,,10.7753/ijcatr1407.1002,journal-article,Association of Technology and Science,https://api.crossref.org/works/10.7753/ijcatr1407.1002,https://doi.org/10.7753/ijcatr1407.1002,Crossref REST,RAW_CANDIDATE
RAW063,T7,SPH numerical validation reference hierarchy,2,Validation of the SPH Models,Yu Huang; Zili Dai; Weijie Zhang,2014-01-01,2014,Geo-disaster Modeling and Analysis: An SPH-based Approach,,,71-114,10.1007/978-3-662-44211-1_4,book-chapter,Springer Berlin Heidelberg,https://api.crossref.org/works/10.1007/978-3-662-44211-1_4,https://doi.org/10.1007/978-3-662-44211-1_4,Crossref REST,RAW_CANDIDATE
RAW064,T1,machine learning enhanced SPH solver,2,Variational Quantum Linear Solver Enhanced Quantum Support Vector Machine,Jianming Yi; Kalyani Suresh; Ali Moghiseh; Norbert Wehn,2024-01-01,2024,Advances in Artificial Intelligence and Machine Learning,04,02,2164-2187,10.54364/aaiml.2024.42124,journal-article,Advances in Artificial Intelligence and Machine Learning,https://api.crossref.org/works/10.54364/aaiml.2024.42124,https://doi.org/10.54364/aaiml.2024.42124,Crossref REST,RAW_CANDIDATE
RAW065,T5,differentiable neighbor search particles,2,VP-DARTS: Validated Pruning Differentiable Architecture Search,Tai-Che Feng; Sheng-De Wang,2024-01-01,2024,Proceedings of the 16th International Conference on Agents and Artificial Intelligence,,,47-57,10.5220/0012296700003636,proceedings-article,SCITEPRESS - Science and Technology Publications,https://api.crossref.org/works/10.5220/0012296700003636,https://doi.org/10.5220/0012296700003636,Crossref REST,RAW_CANDIDATE
RAW066,T7,weakly compressible SPH Taylor Green verification,2,Weakly Compressible Approximation of the Taylor–Green Vortex Solution,Matteo Antuono; Salvatore Marrone,2025-01-01,2025,Studies in Applied Mathematics,154,1,e12792,10.1111/sapm.12792,journal-article,Wiley,https://api.crossref.org/works/10.1111/sapm.12792,https://doi.org/10.1111/sapm.12792,Crossref REST,RAW_CANDIDATE
