figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261202/training_history.json,sha256:1854cbb4d7751bac591b732be2bb4a1c4849d5e35ef0a918d0d31fdc3ea8e776,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261203/training_history.json,sha256:ab4a29cbf88942b6b365e02f69eb6e09c3f52e37d9cf2d07fd56cce6e2d0da75,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261201/training_history.json,sha256:0d4b0f626def91f8ea115d17d9fcd12f15a3e13b2fac4d121c7fd5230081cc26,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261202/training_history.json,sha256:69d86e3d9eae9b1f62dfac87b27716107a1fcf2f75240e64d5a420b73f292889,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261203/training_history.json,sha256:8f20f292b50a6332375f23b73b27d8b5219c79c914dadfc77f4fd328953ae6da,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261211/training_history.json,sha256:21d22947c4548a22257712b77a9f8715f93014883e9e9cdb6c7d5d11c05e4e66,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261212/training_history.json,sha256:d8f7cf2f67126c3804a07a46244d3b775c49fd29ac266206164a6e5db35a5b09,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261213/training_history.json,sha256:1f9ea49122468c495cef441ce125208db39fad10f35aa40b5510bc831a11a55a,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261211/training_history.json,sha256:2bb054483ba6fd06baeaa76992e0d5537d159f118a219aecf9174f99f1496403,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261212/training_history.json,sha256:f8158493786dccc73d048d1413b5c59c75c5be3db8108a47a82cfd15ed2d7745,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261213/training_history.json,sha256:793a68005cf515b7253dd48b99f5425d9e03d24fcf07d0adae88cd7e9078c571,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261211/training_history.json,sha256:8867c327312944b89113b44f8f82baae6f7ba59c541d7dff2a958459e46869a5,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261212/training_history.json,sha256:7dfb87ab251fdff1656eebeae791b8dd4e7ff3594c4ec933ad90bd4206fbf182,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261213/training_history.json,sha256:18fa633d6eec68432f9883be44b8ec0198d0fc54e18b3e6f501454dc20c390ad,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
