candidate_id,title,doi,themes,status,rejection_reason
RAW075,Coupled 2D PDE Solutions and 3D PDE Solutions,10.1201/9781003200352-9,T6,EXCLUDED,no relevant methodological evidence
RAW076,Differentiable Search of Evolutionary Trees,10.1101/2023.07.23.550206,T5,EXCLUDED,screened out after thematic relevance review
RAW078,Efficient determination of the Hamiltonian and electronic properties using graph neural network,10.21203/rs.3.rs-2221687/v1,T3,EXCLUDED,screened out after thematic relevance review
RAW079,"Enhancing Graph Neural Network-Based Surrogate Models for Lagrangian Fluid Simulations: Accurate Pressure Prediction, Flexible Boundary Condition Handling, and Time-Step Convergence",10.2139/ssrn.4905247,T2,EXCLUDED,screened out after thematic relevance review
RAW081,Improving the Solver for the Balitsky-Kovchegov Evolution Equation with Automatic Differentiation,10.2139/ssrn.5041552,T4,EXCLUDED,not relevant physical-solver domain
RAW082,JutulDarcy.jl - a Fully Differentiable High-Performance Reservoir Simulator based on Automatic Differentiation,10.3997/2214-4609.202437111,T4,EXCLUDED,screened out after thematic relevance review
RAW083,Motion Generation for Shaping Deformable Linear Objects with Contact Avoidance Using Differentiable Simulation <sup>*</sup>,10.1109/robio58561.2023.10355033,T5,EXCLUDED,screened out after thematic relevance review
RAW084,NAFDTD - A Near-field Finite Difference Time Domain Solver,10.21236/ada568936,T4,EXCLUDED,screened out after thematic relevance review
RAW085,Neural Lower Bounds for Verification,10.1109/satml54575.2023.00041,T6,EXCLUDED,screened out after thematic relevance review
RAW086,Online Directed Graph Estimation for Dynamic Network Topology Inference,10.1109/vtc2023-fall60731.2023.10333427,T5,EXCLUDED,screened out after thematic relevance review
RAW087,Optimal Ordered Problem Solver,10.1023/b:mach.0000015880.99707.b2,T1,EXCLUDED,screened out after thematic relevance review
RAW088,Pairwise angular-momentum emergence as PDE closure for ∇×F = 0: A universal spiral attractor in conservative systems validated across 25 orders of magnitud,10.2139/ssrn.6920929,T3,EXCLUDED,screened out after thematic relevance review
RAW089,Piecewise Differentiable Functions,10.1007/978-1-4614-4340-7_4,T5,EXCLUDED,screened out after thematic relevance review
RAW090,Restoring Particle Consistency in Discontinuous Smoothed Particle Hydrodynamics,10.2139/ssrn.4229587,T7,EXCLUDED,screened out after thematic relevance review
RAW091,Restructuring and Extensible Simulator for Shared Memory and Message Passing Parallel Programs,10.1109/adcom.2006.4289845,T2,EXCLUDED,no relevant methodological evidence
RAW092,"Review for ""EGraFFBench: evaluation of equivariant graph neural network force fields for atomistic simulations""",10.1039/d4dd00027g/v2/review1,T3,EXCLUDED,duplicate/correction/peer-review record
RAW093,ROMS/TOMS Tangent Linear and Adjoint Models: Testing and Applications,10.21236/ada630975,T4,EXCLUDED,screened out after thematic relevance review
RAW094,Solid Mechanics Code Verification: Contrasting Classical and Manufactured Reference Solutions,10.2172/1475255,T7,EXCLUDED,screened out after thematic relevance review
RAW095,Space Shuttle Landing and Rollout Training at the Vertical Motion Simulator,10.2514/6.2008-6541,T2,EXCLUDED,no relevant methodological evidence
RAW096,SPH for Hydrodynamics with Material Strength,10.1142/9789812564405_0008,T1;T7,EXCLUDED,screened out after thematic relevance review
RAW097,Validation of an SPH model for plastic transport,10.1063/5.0328900,T7,EXCLUDED,screened out after thematic relevance review
RAW098,Web service reliability prediction based on machine learning,10.1016/j.csi.2020.103466,T6,EXCLUDED,no relevant methodological evidence
RAW099,A Data-Efficient Mesh-Graph Learned Simulator for Rapid Formability Assessment of Textile Composites,10.2139/ssrn.6283652,T2,EXCLUDED,screened out after thematic relevance review
RAW100,A Differentiable Solver for Phase-resolved Nearshore Wave Modelling,10.2139/ssrn.6117930,T4,EXCLUDED,screened out after thematic relevance review
RAW102,Advanced Topics in Trustworthy Machine Learning,10.1007/978-981-96-9396-2_5,T6,EXCLUDED,no relevant methodological evidence
RAW103,AFiD-Darcy: A finite difference solver for numerical simulations of convective porous media flows,10.52843/cassyni.rpc0xk,T4,EXCLUDED,screened out after thematic relevance review
RAW105,Applications of automatic differentiation in CFD,10.2172/10159232,T4,EXCLUDED,screened out after thematic relevance review
RAW106,Applying Graph Convolution Networks to Recommender Systems based on graph topology,10.24012/dumf.1081137,T5,EXCLUDED,screened out after thematic relevance review
RAW107,Code Verification of an unsteady RANS finite-element solver,10.2514/6.2013-3088,T6,EXCLUDED,screened out after thematic relevance review
RAW108,Comparison of Incompressible and Weakly-Compressible SPH for the Simulation of Laser Beam Welding,10.23967/c.particles.2023.011,T7,EXCLUDED,screened out after thematic relevance review
RAW109,Credibility Assessment of Twitter Data using Machine Learning Algorithms,10.29042/2020-10-3-25-29,T6,EXCLUDED,no relevant methodological evidence
RAW110,"Establishment and validation of a versatile SPH-based numerical tank for generating wave-alone, current-alone, and wave-current-combined fields",10.1016/j.coastaleng.2024.104663,T7,EXCLUDED,screened out after thematic relevance review
RAW111,Exact and Manufactured Solutions,10.1017/9781009031004.009,T7,EXCLUDED,screened out after thematic relevance review
RAW112,From cutoff to causality: regression discontinuity design for evaluating acute kidney injury e-alerts,10.1016/j.kint.2026.02.011,T5,EXCLUDED,no relevant methodological evidence
RAW113,"Graph Neural Network, ChebNet, Graph Convolutional Network, and Graph Autoencoder: Tutorial and Survey",10.31219/osf.io/9wk3y,T1;T3,EXCLUDED,screened out after thematic relevance review
RAW115,Investigation of gravity-driven infiltration instabilities in smooth and rough fractures using a massively parallel smoothed particle hydrodynamics (SPH) model,10.1002/essoar.10500839.1,T1,EXCLUDED,screened out after thematic relevance review
RAW116,Laplacian Eigenfunction-Based Neural Operator for Learning Nonlinear Reaction–Diffusion Dynamics,10.2139/ssrn.5245031,T2,EXCLUDED,no relevant methodological evidence
RAW117,Learning Power System Dynamics with Nearly-Hamiltonian Neural Network,10.1109/pesgm52003.2023.10252786,T3,EXCLUDED,screened out after thematic relevance review
RAW118,Learning Tool Morphology for Contact-Rich Manipulation Tasks with Differentiable Simulation,10.1109/icra48891.2023.10161453,T5,EXCLUDED,screened out after thematic relevance review
RAW119,Momentum-Conserving Physics-Informed Graph Neural Networks for Dynamical Systems,10.52843/cassyni.nkrp02,T3,EXCLUDED,screened out after thematic relevance review
RAW120,Navigating the Evolving Landscape of Safety Standards for Machine Learning-based Road Vehicle Functions,10.4271/epr2024017,T6,EXCLUDED,no relevant methodological evidence
RAW121,Nonlinear Approximation from Differentiable Piecewise Polynomials,10.21236/ada640663,T5,EXCLUDED,screened out after thematic relevance review
RAW122,On Nearest Neighbor Degeneracies of Indistinguishable Particles.,10.21236/ada088247,T5,EXCLUDED,screened out after thematic relevance review
RAW123,Pairwise-additive force fields for selected aqueous monovalent ions from adaptive force matching,10.1063/1.4935599,T3,EXCLUDED,no relevant methodological evidence
RAW124,Passing as Social Strategy,10.14325/mississippi/9781496806277.003.0003,T2;T3,EXCLUDED,no relevant methodological evidence
RAW126,Smooth Particle Swarm Fluid Simulation Algorithm Based on Graph Neural Network,10.1109/iceaai64185.2025.10956858,T1;T2,EXCLUDED,screened out after thematic relevance review
RAW127,Stability Ball Rollout,10.5040/9781350869820,T2,EXCLUDED,secondary source only
RAW130,5 Weitergehende Details zum Message-Passing mit MPI,10.1524/9783486841008.107,T2;T3,EXCLUDED,no relevant methodological evidence
RAW131,A FFT-accelerated multi-block finite-difference solver for massively parallel simulations of incompressible flows,10.1016/j.cpc.2021.108194,T4,EXCLUDED,screened out after thematic relevance review
RAW132,A Generalized Density Dissipation for Weakly-Compressible Sph,10.2139/ssrn.4579926,T7,EXCLUDED,screened out after thematic relevance review
RAW133,Accelerating stochastic simulation of post-failure landslide runout using a random graph neural network-based simulator,10.2139/ssrn.6082127,T2,EXCLUDED,screened out after thematic relevance review
RAW134,Contact-Aware Soft Robot Design via Differentiable Simulation and Morphological Optimization,10.1109/tmech.2026.3692920,T5,EXCLUDED,screened out after thematic relevance review
RAW135,Coupled SPH–FEM modeling of waterjet-assisted coal cutting: Numerical simulation and experimental validation,10.1016/j.gete.2025.100732,T7,EXCLUDED,screened out after thematic relevance review
RAW136,Development of Verification Methodology for Thermo-Mechanical Solver of MERCURY Fuel Performance Code,10.13182/t130-44075,T6,EXCLUDED,screened out after thematic relevance review
RAW137,Differentiable group actions,10.1017/cbo9781316597835.004,T5,EXCLUDED,screened out after thematic relevance review
RAW138,Fourier neural operator based fluid–structure interaction for predicting the vesicle dynamics,10.1016/j.physd.2024.134145,T2,EXCLUDED,screened out after thematic relevance review
RAW139,GPU-Enhanced PDE Solver Simulating Information Processing in Mach-Zehnder Interferometer,10.36227/techrxiv.173153253.35309270/v1,T6,EXCLUDED,screened out after thematic relevance review
RAW140,Intelligent web archiving and ranking of fake news using metadata-driven credibility assessment and machine learning,10.1038/s41598-025-31583-0,T6,EXCLUDED,no relevant methodological evidence
RAW141,Introduction,10.1142/9789812564405_0001,T1;T7,EXCLUDED,no relevant methodological evidence
RAW143,Learning Articulated Rigid Body Dynamics with Lagrangian Graph Neural Network,10.52202/068431-2160,T2;T3,EXCLUDED,screened out after thematic relevance review
RAW144,Machine Learning increases efficiency and timeliness of National Procedural Clinical Standards KPI reporting (Preprint),10.2196/preprints.32624,T6,EXCLUDED,no relevant methodological evidence
RAW146,Multi-Level Graph Neural Network for Information Fusion in Learning Stock Market Dynamics,10.2139/ssrn.4423354,T3,EXCLUDED,screened out after thematic relevance review
RAW147,Nearest Neighbor Search,10.1007/0-387-27544-4,T5,EXCLUDED,secondary source only
RAW148,Network Anomaly Detection Scheme Using Graph Neural Network,10.32920/26883595.v1,T1,EXCLUDED,screened out after thematic relevance review
RAW150,Parameter Setting in SAT Solver using Machine Learning Techniques,10.5220/0010910200003116,T1,EXCLUDED,screened out after thematic relevance review
RAW151,Particle Methods as Message Passing,10.1109/isit.2006.261910,T2,EXCLUDED,screened out after thematic relevance review
RAW152,Physics-Aware Dynamic Graph Embedding with Contrastive Feature Alignment for Transient Stability Prediction under Grid Topology Variations,10.2139/ssrn.5635597,T5,EXCLUDED,screened out after thematic relevance review
RAW153,Quantitative study of conservative gradient force and non-conservative scattering force exerted on a spherical particle in optical tweezers,10.1364/oe.434208,T3,EXCLUDED,screened out after thematic relevance review
RAW154,Regression Discontinuity,10.1201/9781003177876-14,T5,EXCLUDED,no relevant methodological evidence
RAW155,"Review for ""An equivariant graph neural network for the elasticity tensors of all seven crystal systems""",10.1039/d3dd00233k/v2/review2,T3,EXCLUDED,duplicate/correction/peer-review record
RAW156,ROMS/TOMS Tangent Linear and Adjoint Models: Testing and Applications,10.21236/ada627043,T4,EXCLUDED,screened out after thematic relevance review
RAW157,The stabilization of high-order multistep schemes for the Laguerre one-way wave equation solver,10.1016/j.jcp.2018.04.059,T4,EXCLUDED,screened out after thematic relevance review
RAW158,Trustworthy Machine Learning with Adversarial Examples,10.1007/978-981-96-9396-2_3,T6,EXCLUDED,no relevant methodological evidence
RAW159,WaterLily.jl: A differentiable and backend-agnostic Julia solver for incompressible viscous flow around dynamic bodies,10.1016/j.cpc.2025.109748,T4,EXCLUDED,screened out after thematic relevance review
RAW160,‘Competing priorities’: why is the rollout of e-prescribing taking so long?,10.1211/pj.2022.1.157905,T2,EXCLUDED,no relevant methodological evidence
RAW161,0BGRaman: Graph Network based Simulator for Forecasting Molecular Polarizability,10.2172/2007881,T2,EXCLUDED,screened out after thematic relevance review
RAW162,A Comparative Study of Indian Financial Reporting Standards and International Financial Reporting Standards,10.56726/irjmets98549,T6,EXCLUDED,no relevant methodological evidence
RAW163,A Lagrangian relaxation network for graph matching,10.1109/72.548165,T2,EXCLUDED,screened out after thematic relevance review
RAW164,A Multipurpose Graph Neural Network for Reconstruction in LArTPC Detectors,10.2172/2361065,T1,EXCLUDED,screened out after thematic relevance review
RAW165,A Survey on Nearest Neighbor Search with Keywords,10.21275/art20164631,T5,EXCLUDED,no relevant methodological evidence
RAW166,An efficient HLL-based scheme for capturing contact-discontinuity in scalar transport by shallow water flow,10.1016/j.cnsns.2023.107531,T5,EXCLUDED,no relevant methodological evidence
RAW167,An enhanced SPH-based hydroelastic FSI solver with structural dynamic hourglass control,10.1016/j.jfluidstructs.2025.104295,T1,EXCLUDED,screened out after thematic relevance review
RAW170,Building a Particle Simulator,10.2172/1222688,T2,EXCLUDED,screened out after thematic relevance review
RAW171,Conclusion,10.2307/j.ctvc77cnp.13,T3,EXCLUDED,no relevant methodological evidence
RAW172,Dynamic Graph Convolutional Network: A Topology Optimization Perspective,10.1109/mlsp52302.2021.9596206,T5,EXCLUDED,screened out after thematic relevance review
RAW175,FY20 Verification of BISON Using Analytic and Manufactured Solutions,10.2172/1614683,T7,EXCLUDED,screened out after thematic relevance review
RAW176,Graph neural network for Hamiltonian-based material property prediction,10.1007/s00521-021-06616-0,T3,EXCLUDED,screened out after thematic relevance review
RAW177,Message Passing,10.1109/9780470544419.ch3,T2;T3,EXCLUDED,no relevant methodological evidence
RAW179,Modeling Water Waves with Smoothed Particle Hydrodynamics,10.21236/ada557148,T1;T7,EXCLUDED,screened out after thematic relevance review
RAW180,Multiple-cutoff regression discontinuity designs in educational evaluation,10.11591/ijere.v14i3.31081,T5,EXCLUDED,no relevant methodological evidence
RAW182,Piecewise Affine Functions,10.1007/978-1-4614-4340-7_2,T5,EXCLUDED,no relevant methodological evidence
RAW183,Reference in Robotics,10.1093/oxfordhb/9780199687305.013.21,T7,EXCLUDED,secondary source only
RAW184,"Review for ""An equivariant graph neural network for the elasticity tensors of all seven crystal systems""",10.1039/d3dd00233k/v1/review3,T3,EXCLUDED,duplicate/correction/peer-review record
RAW185,ROMS Tangent Linear and Adjoint Models: Testing and Applications,10.21236/ada390458,T4,EXCLUDED,screened out after thematic relevance review
RAW186,Smoothed Particle Hydrodynamics Modeling of Charged Particle and Neutron Yield in Plasma Driven Magneto-Inertial Fusion,10.2514/6.2017-4844,T1,EXCLUDED,screened out after thematic relevance review
RAW187,Solving Antenna Cavity Models via Differentiable Physics-Embedded PDE Solver,10.1109/mapcon65020.2025.11426271,T4,EXCLUDED,not relevant physical-solver domain
RAW189,The Role of Fluid Dynamics and Fluid–Particle Interaction on Fouling in Membrane-Based Separation Systems,10.1201/9781003518426-2,T2,EXCLUDED,screened out after thematic relevance review
RAW190,Trustworthy Machine Learning with Noisy Labels,10.1007/978-981-96-9396-2_2,T6,EXCLUDED,no relevant methodological evidence
RAW191,Verification of a Chemical Nonequilibrium Flows Solver Using the Method of Manufactured Solutions,10.1016/j.proeng.2014.12.593,T6,EXCLUDED,screened out after thematic relevance review
RAW192,Wholistic Credibility Assessment of Machine Learning-Based Surrogate Model in an Aerodynamics Application,10.1115/vvuq2025-152225,T6,EXCLUDED,no relevant methodological evidence
RAW194,A particle-based parallel scheme for material point method (MPM) using message passing interface (MPI),10.1007/s40571-022-00480-y,T2,EXCLUDED,screened out after thematic relevance review
RAW195,A seamless multiscale operator neural network for inferring bubble dynamics,10.1017/jfm.2021.866,T2,EXCLUDED,no relevant methodological evidence
RAW196,Ab Wheel Rollout,10.5040/9781350869844,T2,EXCLUDED,secondary source only
RAW198,Automatic Optimization of the Computation Graph in the Nengo Neural Network Simulator,10.3389/fninf.2017.00033,T2,EXCLUDED,screened out after thematic relevance review
RAW199,Credibility Assessment of Machine Learning-Based Surrogate Model Predictions on NACA 0012 Airfoil Flow,10.1115/vvuq2024-132964,T6,EXCLUDED,no relevant methodological evidence
RAW200,Differentiable links,10.1016/0040-9383(62)90106-4,T5,EXCLUDED,screened out after thematic relevance review
RAW202,Experimental–numerical validation of a coupled SPH–FEA framework for fluid–structure interaction with a flexible floating body in a sloshing tank,10.2139/ssrn.7198920,T7,EXCLUDED,screened out after thematic relevance review
RAW203,Facial Beauty Standards Predictions Based on Machine Learning: A Comparative Analysis,10.33022/ijcs.v13i1.3709,T6,EXCLUDED,no relevant methodological evidence
RAW204,"Human-in-the-Loop Governance for LLM-Generated Code:  An Engineering Control, Accountability, and Verification Model  in AI-Augmented Software Development",10.59324/ejsmt.2026.2(3).12,T6,EXCLUDED,screened out after thematic relevance review
RAW205,Layered Feature Representation for Differentiable Architecture Search,10.21203/rs.3.rs-1086452/v1,T5,EXCLUDED,screened out after thematic relevance review
RAW206,Modeling Water Waves with Smoothed Particle Hydrodynamics,10.21236/ada597658,T1;T7,EXCLUDED,screened out after thematic relevance review
RAW207,MPDATA: A Finite-Difference Solver for Geophysical Flows,10.1006/jcph.1998.5901,T4,EXCLUDED,screened out after thematic relevance review
RAW208,Multi-View topology assisted dynamic graph learning for fMRI-based Alzheimer’s disease identification,10.1016/j.neucom.2024.129025,T5,EXCLUDED,screened out after thematic relevance review
RAW209,Network Anomaly Detection Scheme Using Graph Neural Network,10.32920/26883595,T1,EXCLUDED,screened out after thematic relevance review
RAW211,Pg-Nets: A Local Weak Neural Networks Based Meshfree Pde Solver,10.2139/ssrn.5129757,T6,EXCLUDED,screened out after thematic relevance review
RAW212,Preference Learning and Ranking by Pairwise Comparison,10.1007/978-3-642-14125-6_4,T3,EXCLUDED,no relevant methodological evidence
RAW213,"Review for ""An equivariant graph neural network for the elasticity tensors of all seven crystal systems""",10.1039/d3dd00233k/v1/review2,T3,EXCLUDED,duplicate/correction/peer-review record
RAW215,ROMS Tangent Linear and Adjoint Models: Testing and Applications,10.21236/ada625422,T4,EXCLUDED,screened out after thematic relevance review
RAW217,SPH Modification Based on the Riemann Solver,10.1063/1.2337181,T1,EXCLUDED,screened out after thematic relevance review
RAW219,SWEEP (Seismic Wave Equation Exploration Platform): A Unified Solver Framework for Differentiable Wave Physics,10.3997/2214-4609.2026101801,T4,EXCLUDED,screened out after thematic relevance review
RAW220,Tangential Discontinuity Simulation,10.1007/978-3-662-05012-5_9,T5,EXCLUDED,no relevant methodological evidence
RAW221,The Reproducibility Gap in Graph Neural Network Workflows for Cell Dynamics: A Checklist-Driven Evaluation,10.22541/au.176463842.29639629/v1,T3,EXCLUDED,screened out after thematic relevance review
RAW222,Trustworthy Machine Learning with Out-of-Distribution Data,10.1007/978-981-96-9396-2_4,T6,EXCLUDED,no relevant methodological evidence
RAW223,Uncertain Pose Estimation during Contact Tasks using Differentiable Contact Features,10.15607/rss.2023.xix.043,T5,EXCLUDED,screened out after thematic relevance review
RAW224,A Directive-Based Heterogenous SPH Solver for Multiphase Flows Using OpenACC and OpenMP,10.2139/ssrn.5519199,T1,EXCLUDED,screened out after thematic relevance review
RAW226,A high-order finite-difference solver for direct numerical simulations of magnetohydrodynamic turbulence,10.1016/j.cpc.2024.109400,T4,EXCLUDED,screened out after thematic relevance review
