figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 2,i,D0 is the exact zero-correction identity.,stage_03_Dynamic_SPH_Transformer_Hybrid/02_temporal_architecture/zero_fallback_contract.md,sha256:ad124d68c2bd2f3f89be045591cd6358619150b3ab3f746f56f206d264cd5498,D0 identity,CONFIRMATORY,Formula typeset verbatim as explanatory identity.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
Figure 2,all,The pair-force architecture passed its frozen structural qualification.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_architecture_v0_1/results/stage02k_qualification_summary.json,sha256:75dea2a8e4ae90d200b202f0f43b075d4ae2700de5ceb60f66c43e44cdc06eef,status and architecture gates,CONFIRMATORY,Status used as boundary; no training claim.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
Figure 3,"a,g",Reference roles retain the failed finite-resolution V2 boundary.,06_experiments/stage_01g_validation_execution/results/stage01g_evaluation_reapplication_01.json,sha256:021676f88cb1d251e280f18b1eac58a4aa0447980b4249920df3722cbb64c45f,unique_status/acoustic_gates/shear_gates/next_stage_qualified,NEGATIVE_CONFIRMATORY,Frozen status rendered as role cards.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,b,Registered MMS errors decrease along the plateau-aware consistency path.,06_experiments/stage_01f5b_requalification_execution/results/spatial_analysis.json,sha256:40ec9202640d955ba0261de554ceae0c5d1258051d10d091225d7468d007da74,cases.*.rows[].N/errors,CONFIRMATORY,Raw frozen errors plotted on log axis; no new fit.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,b,No GCI claim is supported.,06_experiments/stage_01f5b_requalification_execution/results/stage01f5b_evaluation.json,sha256:4b3eec7d6283049c9873bb2e8416adb734442bdc77fa3c2cf97fabf89dbeea32,gci and unique_status,NEGATIVE_CONFIRMATORY,Boundary annotation only.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,c,Zero correction passed all 288 registered bitwise cases.,stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03c/results/zero_correction_results.json,sha256:b42c22e335efde77e65ee676fe4194d0e85d1e4946e620663d6725f6d12130c9,passed/required/rows[].gates,CONFIRMATORY,Direct counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,d,Independent D0 RK2 implementation passed 48/48 checks.,stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03c/results/independent_rk2_results.json,sha256:1b1ca2612e0821b4f76319939e2c1a9903aa9cec8ae6ec88de793d36faa47ae4,passed/required/rows[].metrics,CONFIRMATORY,Direct counts in annotation.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,d,D0-reference differences are diagnostic and do not recover V2.,stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03c/results/d0_reference_diagnostics.json,sha256:706f7eeb455782543508fcfdc777239a228a0bb7170e21f0f8bdba02a7eed414,rows[].D0_vs_D_R2_DOP853.maximum_normalized_l2/performance_gate,DIAGNOSTIC_ONLY,Raw diagnostics plotted in registered row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,e,Dense topology scan records birth/death transitions.,stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03d/topology_event_scan/te1_dense_scan_results.json,sha256:cfd79cab48e6c468634802c30a2784a47e84b8bb09499e27f791bdfb2686fe58,rows[].s/cutoff_margin/active_unordered_pair_count,CONFIRMATORY,Raw scan order; zero-margin reference line.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,f,All registered structural conservation stages passed.,stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03d/conservation_over_time/conservation_results.json,sha256:ac38e56168ea68c47e3e1be8216abb5217f086605dfe311bfe9cdc5e1ff4ffc0,rows[].audit.conservation/per_stage_count/per_stage_pass_count,CONFIRMATORY,Raw positive residuals displayed on log axis.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 3,g,The complete route remained not qualified despite implementation verification.,stage_08Z_Project_Closure_Publication/01_project_status/project_final_status_ledger.md,sha256:bf600d06dfb003a8062259e5205c8ba99b4796dff9712518537f234566c3dbb0,Stage03 and final flags,NEGATIVE_CONFIRMATORY,Frozen statuses grouped by claim layer.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf;publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png
Figure 4,a,All 18 frozen static TRAIN histories are retained.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261201/training_history.json,sha256:9ebccc2b15de2f2542b27ceccc14d1228ea362b90cf005896940ed0a571469ef,rows[].update/graph_balanced_loss (plus 17 listed in source_data),NEGATIVE_CONFIRMATORY,All histories plotted; source_data records every source hash.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,b,Registered static learning gates did not establish the route.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/results/frozen_success_gate_evaluation.json,sha256:264be79bf40cc7f03ffaa4f4da1c9f9e4c77f7d45428283d90ecba19a589c4e3,architectures.* A/B/C/E,NEGATIVE_CONFIRMATORY,Boolean gate matrix; sealed-test gate D intentionally excluded.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,b,The second static campaign remained below its seed gate.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/results/stage02mq_frozen_success_gate_evaluation.json,sha256:16a8574f2c48cbf1eb87df427a72642f352bddbeed99152db6aefc22d69285f3,architectures.* A/B/C/E,NEGATIVE_CONFIRMATORY,Boolean gate matrix; sealed-test gate D intentionally excluded.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,"c,e",Complete task-aligned directional evidence is mixed or unresolved.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/directional_projection/directional_projection_and_factors.json,sha256:8cedf91d13901fa0b8958189db1c8c094f2532589e16c63753b0ec3dedab0fdb,rows[].components and reason_counts,DIAGNOSTIC_ONLY,Historical derivatives log-scaled; 864 rows × three components; frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,d,D0 next-state residual magnitudes are small in registered coordinates.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/state_residual/state_residual_and_D0_comparison.json,sha256:36c775ac32c36075af5933e05244d7a3598dcace5388a1b436b01383837354b6,rows[].D0_dimensionless_state_residual_RMS,DIAGNOSTIC_ONLY,Deterministic fixed-bin histogram on log x-axis.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,f,RK2 maps acceleration into velocity as Δt and position as Δt²/2.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/rk2_attenuation/rk2_attenuation.json,sha256:1cd05d45441f1d4f529ba24583a78e800a1cdbf8b75f81550dcdade6241e517a,rows[].V_over_dt_A_mid/X_over_dt2_A_mid,DIAGNOSTIC_ONLY,Raw registered ratios; theoretical guide lines at 1 and 0.5.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,g,Stage04 attribution was mixed or unresolved.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/qualification/stage04cr_summary.json,sha256:3b24b834bca6deeca61f6388706ebc739beb22b5773fddfa26854754035c8cdb,final_status/reason_counts,NEGATIVE_CONFIRMATORY,Status card.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,g,The scale-aware defect target subsequently qualified.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/qualification/stage05b_qualification_summary.json,sha256:04e05c230e3ca8e3aee53836942370d14c90f9eddd5664afafbc46cbf57b782b,status/gates,CONFIRMATORY,Authorization transition only; no success inference.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261202/training_history.json,sha256:15bdd45dad7be54318f13fbd5d457c318bbe00684403b2333a06d34498474c73,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261203/training_history.json,sha256:6920f8e9f2723206957feba59177be57e18c0f537931b7e2d87187c120ba91f2,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261201/training_history.json,sha256:1ee639fbc884001b5699680487f6013293140ce33cbab11629989d73e7a0e332,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261202/training_history.json,sha256:1854cbb4d7751bac591b732be2bb4a1c4849d5e35ef0a918d0d31fdc3ea8e776,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261203/training_history.json,sha256:ab4a29cbf88942b6b365e02f69eb6e09c3f52e37d9cf2d07fd56cce6e2d0da75,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261201/training_history.json,sha256:0d4b0f626def91f8ea115d17d9fcd12f15a3e13b2fac4d121c7fd5230081cc26,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261202/training_history.json,sha256:69d86e3d9eae9b1f62dfac87b27716107a1fcf2f75240e64d5a420b73f292889,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261203/training_history.json,sha256:8f20f292b50a6332375f23b73b27d8b5219c79c914dadfc77f4fd328953ae6da,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261211/training_history.json,sha256:21d22947c4548a22257712b77a9f8715f93014883e9e9cdb6c7d5d11c05e4e66,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261212/training_history.json,sha256:d8f7cf2f67126c3804a07a46244d3b775c49fd29ac266206164a6e5db35a5b09,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261213/training_history.json,sha256:1f9ea49122468c495cef441ce125208db39fad10f35aa40b5510bc831a11a55a,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261211/training_history.json,sha256:2bb054483ba6fd06baeaa76992e0d5537d159f118a219aecf9174f99f1496403,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
